Ni,Ni - Nav,Ni-Nav/sig,Ni-Nav/sig rounded
1398,-42.62,-1.12,-1.0
1452,11.38,0.3,0.5
1427,-13.62,-0.36,-0.5
1451,10.38,0.27,0.5
1505,64.38,1.7,1.5
1374,-66.62,-1.76,-2.0
1421,-19.62,-0.52,-0.5
1424,-16.62,-0.44,-0.5
1433,-7.62,-0.2,0.0
1454,13.38,0.35,0.5
1483,42.38,1.12,1.0
1430,-10.62,-0.28,-0.5
1412,-28.62,-0.75,-1.0
1450,9.38,0.25,0.0
1452,11.38,0.3,0.5
1390,-50.62,-1.33,-1.5
1414,-26.62,-0.7,-0.5
1486,45.38,1.2,1.0
1414,-26.62,-0.7,-0.5
1435,-5.62,-0.15,0.0
1427,-13.62,-0.36,-0.5
1471,30.38,0.8,1.0
1379,-61.62,-1.62,-1.5
1406,-34.62,-0.91,-1.0
1456,15.38,0.41,0.5
1426,-14.62,-0.39,-0.5
1412,-28.62,-0.75,-1.0
1423,-17.62,-0.46,-0.5
1466,25.38,0.67,0.5
1486,45.38,1.2,1.0
1461,20.38,0.54,0.5
1475,34.38,0.91,1.0
1432,-8.62,-0.23,0.0
1429,-11.62,-0.31,-0.5
1489,48.38,1.27,1.5
1445,4.38,0.12,0.0
1491,50.38,1.33,1.5
1509,68.38,1.8,2.0
1449,8.38,0.22,0.0
1442,1.38,0.04,0.0
1468,27.38,0.72,0.5
1474,33.38,0.88,1.0
1442,1.38,0.04,0.0
1419,-21.62,-0.57,-0.5
1385,-55.62,-1.47,-1.5
1479,38.38,1.01,1.0
1447,6.38,0.17,0.0
1476,35.38,0.93,1.0
1403,-37.62,-0.99,-1.0
1453,12.38,0.33,0.5
1438,-2.62,-0.07,0.0
1409,-31.62,-0.83,-1.0
1488,47.38,1.25,1.0
1459,18.38,0.48,0.5
1434,-6.62,-0.17,0.0
1421,-19.62,-0.52,-0.5
1455,14.38,0.38,0.5
1491,50.38,1.33,1.5
1422,-18.62,-0.49,-0.5
1467,26.38,0.7,0.5
1515,74.38,1.96,2.0
1492,51.38,1.35,1.5
1435,-5.62,-0.15,0.0
1464,23.38,0.62,0.5
1436,-4.62,-0.12,0.0
1443,2.38,0.06,0.0
1441,0.38,0.01,0.0
