Run No,counts
1,2
2,1
3,1
4,1
5,2
6,2
7,1
8,2
9,1
10,2
11,1
12,0
13,0
14,0
15,2
16,2
17,1
18,0
19,2
20,0
21,2
22,0
23,3
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,2
32,1
33,3
34,0
35,3
36,0
37,0
38,0
39,2
40,0
41,0
42,2
43,0
44,1
45,2
46,2
47,0
48,3
49,0
50,2
51,0
52,0
53,2
54,2
55,3
56,1
57,1
58,2
59,3
60,5
61,2
62,2
63,1
64,1
65,3
66,4
67,1
68,4
69,0
70,2
71,2
72,1
73,0
74,4
75,1
76,1
77,0
78,1
79,2
80,0
81,0
82,2
83,1
84,0
85,2
86,0
87,2
88,0
89,0
90,5
91,0
92,0
93,1
94,2
95,4
96,1
97,1
98,2
99,2
100,0
101,3
102,1
103,2
104,5
105,2
106,1
107,1
108,2
109,3
110,2
111,3
112,1
113,2
114,1
115,3
116,1
117,0
118,2
119,4
120,3
121,1
122,1
123,1
124,0
125,0
126,1
127,2
128,0
129,1
130,3
131,2
132,0
133,3
134,2
135,2
136,0
137,2
138,1
139,1
140,0
141,2
142,0
143,1
144,1
145,1
146,0
147,2
148,1
149,2
150,3
151,1
152,1
153,0
154,2
155,1
156,3
157,2
158,2
159,0
160,0
161,2
162,2
163,0
164,0
165,1
166,2
167,0
168,2
169,1
170,4
171,3
172,1
173,1
174,3
175,1
176,1
177,0
178,0
179,2
180,2
181,2
182,1
183,0
184,0
185,0
186,1
187,1
188,1
189,0
190,2
191,2
192,1
193,0
194,0
195,1
196,2
197,1
198,3
199,4
200,1
